"id","date","mileage","distance","fuel_used","car_id","amount","gas_station","km_total","km_trip","liter_price","liters","tyres"
1,"2024-05-21",0.0,0.0,0.0,1,101.58,Esso Bodegraven,90559.0,681.0,1.949,52.12,Winter
2,"2024-06-03",0.0,0.0,0.0,1,98.05,Bodegraven ,91324.0,765.4,1.899,51.63,Winter
3,"2024-06-17",0.0,0.0,0.0,1,49.38,Argos,92052.0,384.1,1.929,25.6,Winter
4,"2024-06-21",0.0,0.0,0.0,1,87.7,Wellin Belgium,92483.0,774.6,1.699,51.62,Winter
5,"2024-06-28",0.0,0.0,0.0,1,103.42,Bodegraven ,93253.0,770.0,1.959,52.79,Winter
6,"2024-07-09",0.0,0.0,0.0,1,105.99,Bodegraven,94045.0,792.0,1.969,53.83,Winter
7,"2024-07-14",0.0,0.0,0.0,1,98.56,France,95357.0,719.6,1.899,51.9,Winter
8,"2024-07-26",0.0,0.0,0.0,1,94.18,France,95979.0,622.5,1.915,49.18,Winter
9,"2024-07-28",0.0,0.0,0.0,1,83.12,Bodegraven,96573.0,593.2,1.949,42.65,Winter
10,"2024-08-03",0.0,0.0,0.0,1,97.89,Bodegraven,97370.0,797.3,1.919,51.01,Winter
11,"2024-08-17",0.0,0.0,0.0,1,91.4,Bodegraven ,98130.0,759.7,1.899,48.13,Winter
12,"2024-08-22",0.0,0.0,0.0,1,92.27,Bodegraven ,98880.0,750.2,1.899,48.59,Winter
13,"2024-09-03",0.0,0.0,0.0,1,91.69,Bodegraven,99618.0,737.9,1.889,48.54,Winter
14,"2024-09-13",0.0,0.0,0.0,1,99.4,Zaandam,100640.0,1022.0,1.809,54.99,Winter
15,"2024-09-27",0.0,0.0,0.0,1,93.66,TinQ Bodegraven ,101383.0,745.0,1.829,51.21,Summer
16,"2024-10-13",0.0,0.0,0.0,1,92.37,Argos,102135.0,752.5,1.839,50.23,Summer
17,"2024-10-19",0.0,0.0,0.0,1,91.28,UK,102906.0,770.7,1.673,54.53,Summer
18,"2024-10-24",0.0,0.0,0.0,1,76.17,UK Asda,103580.0,671.1,1.653,48.08,Summer
19,"2024-10-26",0.0,0.0,0.0,1,41.23,UK,104010.0,430.0,0.0,31.26,Summer
20,"2024-11-11",0.0,0.0,0.0,1,107.11,Bodegraven,104821.0,811.0,1.889,56.7,Summer
21,"2024-11-26",0.0,0.0,0.0,1,107.63,Bodegraven ,105569.0,747.3,1.959,54.94,Summer
22,"2024-12-13",0.0,0.0,0.0,1,97.78,Argos Bodegraven,106258.0,689.2,1.899,51.49,Summer
23,"2024-12-26",0.0,0.0,0.0,1,108.85,Esso Bodegraven,107095.0,836.7,1.899,57.32,Summer
24,"2025-01-06",0.0,0.0,0.0,1,101.19,Bodegraven,107842.0,747.1,1.919,52.73,Summer
25,"2025-01-17",0.0,0.0,0.0,1,80.33,Bodegraven,108432.0,589.7,1.939,41.43,Summer
26,"2025-01-24",0.0,0.0,0.0,1,111.83,Bodegraven,109272.0,839.9,1.949,57.38,Summer
113,"2025-02-14",,0.0,,1,108.45,Bodegraven,110029.0,757.6,1.959,55.36,Summer
114,"2025-03-01",,0.0,,1,96.71,Argos Bodegraven,110730.0,700.9,1.909,50.66,Summer
115,"2025-03-14",,0.0,,1,100.0,Bodegraven,111457.0,724.9,1.879,53.22,Summer
117,"2025-04-02",,0.0,,1,103.21,Bodegraven,112235.0,777.6,1.879,54.93,Summer
118,"2025-04-17",,0.0,,1,94.89,Argos,112955.0,719.5,1.829,51.88,Summer
119,"2025-04-27",0.0,0.0,0.0,1,100.54,Bodegraven,113728.0,772.9,1.849,54.37,Summer
120,"2025-05-14",,0.0,,1,95.95,Tamoil Gouda,114516.0,788.0,1.809,53.04,Summer
122,"2025-05-27",,0.0,,1,102.68,Bodegraven,115294.0,777.9,1.869,54.94,Summer
123,"2025-06-15",,0.0,,1,96.45,Bodegraven,115967.0,672.9,1.889,51.06,Summer
124,"2025-06-21",,0.0,,1,94.96,Germany,116768.0,801.0,1.779,53.38,Summer
125,"2025-06-27",,0.0,,1,128.01,Germany,117750.0,982.0,1.91,67.02,Summer
126,"2025-07-09",,0.0,,1,97.25,Tamoil Gouda,118548.0,797.2,1.809,53.76,Summer
127,"2025-07-24",,0.0,,1,96.91,Dieten Olie,119361.0,813.5,1.809,53.57,Summer
128,"2025-07-31",,0.0,,1,103.03,Bodegraven,120202.0,840.6,1.878,54.83,Summer
129,"2025-08-10",,0.0,,1,86.03,Belgie,121026.0,824.4,1.606,53.57,Summer
130,"2025-08-17",,0.0,,1,53.8,Luxembourg,121494.0,466.2,1.458,36.9,Summer
131,"2025-08-28",,0.0,,1,93.43,Tankstation NXT,122265.0,771.6,1.889,49.46,Summer
134,"2025-09-11",,0.0,,1,95.61,Bodegraven,122967.0,701.5,1.939,49.31,Summer
135,"2025-09-20",,0.0,,1,85.18,Bodegraven,123638.0,670.6,1.889,45.09,Summer
138,"2025-10-12",,0.0,,1,92.71,TotalEnergies,124316.0,677.9,1.879,49.34,summer
139,"2025-10-21",,0.0,,1,59.98,Luxemburg,124904.0,588.0,1.473,40.72,Summer
141,"2025-11-01",,0.0,,1,90.9,Bodegraven,125620.0,715.9,1.889,48.12,Summer
143,"2025-11-15",,0.0,,1,80.43,Bodegraven,126162.0,541.8,1.919,41.91,Summer
144,"2025-11-24",,0.0,,1,92.28,Tankstation TomAs,126859.0,696.7,1.879,49.11,Summer
146,"2025-12-09",,0.0,,1,85.55,Germany,127603.0,743.0,1.649,51.88,Summer
27,"2021-04-10",0.0,0.0,0.0,2,74.35,"",88317.0,701.5,1.679,44.28,Summer
28,"2021-04-16",0.0,0.0,0.0,2,76.24,"",88967.0,650.0,1.689,45.14,Summer
29,"2021-05-01",0.0,0.0,0.0,2,73.21,"",89640.0,672.9,1.715,42.69,Summer
30,"2021-05-19",0.0,0.0,0.0,2,80.27,"",90411.0,771.0,1.724,46.56,Summer
31,"2021-06-15",0.0,0.0,0.0,2,76.51,"",91176.0,765.0,1.724,44.38,Summer
32,"2021-07-10",0.0,0.0,0.0,2,78.13,"",91942.0,765.7,1.779,43.92,Summer
33,"2021-07-27",0.0,0.0,0.0,2,74.57,"",92607.0,663.1,1.789,41.68,Summer
34,"2021-08-26",0.0,0.0,0.0,2,88.01,Horst,93516.0,829.8,1.849,47.6,Summer
35,"2021-08-29",0.0,0.0,0.0,2,73.83,"",94213.0,696.7,1.809,40.81,Summer
36,"2021-09-19",0.0,0.0,0.0,2,88.71,Bodegraven ,95123.0,908.6,1.829,48.5,Summer
37,"2021-10-07",0.0,0.0,0.0,2,80.7,Bodegraven ,95867.0,744.5,1.889,42.72,Summer
38,"2021-10-17",0.0,0.0,0.0,2,52.2,Bodegraven ,96358.0,490.3,1.919,27.2,Summer
39,"2021-10-21",0.0,0.0,0.0,2,44.61,Belgium,96824.0,462.3,1.569,28.43,Summer
40,"2021-11-02",0.0,0.0,0.0,2,81.8,Bodegraven ,97569.0,744.1,1.949,41.97,Summer
41,"2021-11-15",0.0,0.0,0.0,2,90.36,Bodegraven ,98371.0,801.8,1.979,45.66,Summer
42,"2021-12-18",0.0,0.0,0.0,2,94.74,Afferden,99146.0,769.4,2.009,47.16,Summer
43,"2022-01-16",0.0,0.0,0.0,2,89.39,Bodegraven,99880.0,733.4,1.959,45.63,Mixed
44,"2022-02-16",0.0,0.0,0.0,2,94.12,Bodegraven ,100585.0,704.9,2.039,46.16,Winter
45,"2022-03-05",0.0,0.0,0.0,2,88.88,Bodegraven,101246.0,661.1,2.199,40.42,Mixed
46,"2022-03-30",0.0,0.0,0.0,2,96.56,Bodegraven ,101935.0,688.8,2.309,41.82,Summer
47,"2022-04-10",0.0,0.0,0.0,2,76.23,Bodegraven,102551.0,615.7,2.089,36.49,Summer
48,"2022-04-18",0.0,0.0,0.0,2,84.99,Bodegraven ,103293.0,742.1,2.039,41.68,Summer
49,"2022-04-23",0.0,0.0,0.0,2,59.75,Bodegraven ,103805.0,512.4,2.069,28.88,Summer
50,"2022-04-30",0.0,0.0,0.0,2,75.57,France,104532.0,727.1,1.807,41.82,Summer
51,"2022-05-04",0.0,0.0,0.0,2,97.82,Bodegraven,105276.0,743.3,2.109,46.38,Summer
52,"2022-05-20",0.0,0.0,0.0,2,92.16,Bodegraven ,106058.0,782.5,2.219,41.53,Summer
53,"2022-06-02",0.0,0.0,0.0,2,97.86,Bodegraven ,106773.0,714.8,2.339,41.84,Summer
54,"2022-06-08",0.0,0.0,0.0,2,85.79,Bodegraven ,107433.0,659.7,2.349,36.52,Summer
55,"2022-06-22",0.0,0.0,0.0,2,101.98,Bodegraven ,108202.0,769.2,2.339,43.6,Summer
56,"2022-07-05",0.0,0.0,0.0,2,104.03,Bodegraven ,109004.0,802.0,2.299,45.25,Summer
57,"2022-07-10",0.0,0.0,0.0,2,86.05,Germany,109624.0,619.4,2.339,36.79,Summer
58,"2022-07-22",0.0,0.0,0.0,2,81.17,France,110295.0,671.5,1.809,44.87,Summer
59,"2022-07-25",0.0,0.0,0.0,2,61.73,Germany ,110890.0,594.9,1.719,35.91,Summer
60,"2022-08-07",0.0,0.0,0.0,2,86.42,Bodegraven,111639.0,746.0,2.079,41.57,Summer
61,"2022-08-13",0.0,0.0,0.0,2,84.89,Bodegraven ,112364.0,724.9,2.049,41.43,Summer
62,"2022-08-20",0.0,0.0,0.0,2,92.43,Bodegraven,113177.0,813.0,2.019,45.78,Summer
63,"2022-09-01",0.0,0.0,0.0,2,96.24,Sloten,114011.0,833.9,2.029,47.43,Summer
64,"2022-09-11",0.0,0.0,0.0,2,87.1,Bodegraven ,114779.0,768.0,1.989,43.79,Summer
65,"2022-09-26",0.0,0.0,0.0,2,87.16,Bodegraven ,115569.0,790.3,1.919,45.42,Summer
66,"2022-10-11",0.0,0.0,0.0,2,86.51,TotalEnergies Schipluiden,116335.0,766.2,1.944,44.5,Summer
67,"2022-10-26",0.0,0.0,0.0,2,93.54,Bodegraven ,117100.0,764.5,2.009,46.56,Summer
68,"2022-10-29",0.0,0.0,0.0,2,64.54,Giesenheim ,117665.0,565.1,1.869,34.53,Summer
69,"2022-11-03",0.0,0.0,0.0,2,86.82,TotalEnergies Schipluiden,118429.0,763.9,1.959,44.32,Summer
70,"2022-11-12",0.0,0.0,0.0,2,85.25,TinQ Tiel,119147.0,718.5,1.889,45.13,Summer
71,"2022-11-25",0.0,0.0,0.0,2,79.22,Bodegraven ,119854.0,706.1,1.789,44.28,Summer
72,"2022-12-07",0.0,0.0,0.0,2,77.52,Bodegraven ,120555.0,701.3,1.769,43.82,Summer
73,"2022-12-16",0.0,0.0,0.0,2,78.25,Bodegraven ,121260.0,705.0,1.719,45.52,Summer
74,"2022-12-31",0.0,0.0,0.0,2,76.57,Bodegraven ,121961.0,700.6,1.779,43.04,Summer
75,"2023-01-11",0.0,0.0,0.0,2,72.49,Bodegraven zuid,122583.0,622.7,1.754,41.33,Summer
76,"2023-01-28",0.0,0.0,0.0,2,84.49,Rotterdam ,123301.0,717.9,1.789,47.23,Summer
77,"2023-02-22",0.0,0.0,0.0,2,84.66,Bodegraven,124090.0,788.7,1.799,47.06,Summer
78,"2023-03-03",0.0,0.0,0.0,2,71.65,Bodegraven,124736.0,645.3,1.809,39.61,Summer
79,"2023-03-15",0.0,0.0,0.0,2,39.66,Delft,125488.0,752.3,1.769,22.42,Summer
80,"2023-03-21",0.0,0.0,0.0,2,77.73,Bodegraven,125774.0,286.2,1.769,43.94,Summer
81,"2023-04-05",0.0,0.0,0.0,2,86.18,Bodegraven,126519.0,745.4,1.869,46.11,Summer
82,"2023-04-17",0.0,0.0,0.0,2,90.15,Bodegraven ,127328.0,808.1,1.879,47.98,Summer
83,"2023-04-30",0.0,0.0,0.0,2,71.26,Dalfsen,128033.0,705.0,1.699,41.94,Summer
84,"2023-05-15",0.0,0.0,0.0,2,75.94,Bodegraven ,128771.0,732.1,1.799,42.21,Summer
85,"2023-05-23",0.0,0.0,0.0,2,84.07,Bodegraven ,129570.0,798.9,1.799,46.73,Summer
86,"2023-06-10",0.0,0.0,0.0,2,81.96,Bodegraven ,130351.0,780.9,1.744,46.2,Summer
87,"2023-06-30",0.0,0.0,0.0,2,83.96,De Lier,131158.0,806.9,1.809,46.41,Summer
88,"2023-07-12",0.0,0.0,0.0,2,92.35,De Lier,131969.0,811.1,1.959,47.14,Summer
89,"2023-07-19",0.0,0.0,0.0,2,59.42,Wuppertal,132505.0,535.4,1.829,32.49,Summer
90,"2023-08-01",0.0,0.0,0.0,2,95.43,BP Bodegraven,133262.0,757.1,1.999,47.74,Summer
91,"2023-08-13",0.0,0.0,0.0,2,88.67,Esso Bodegraven,134007.0,745.1,2.029,43.7,Summer
92,"2023-08-26",0.0,0.0,0.0,2,92.29,Bodegraven Esso,134784.0,777.2,2.039,45.26,Summer
93,"2023-09-15",0.0,0.0,0.0,2,93.14,Esso Bodegraven,136300.0,760.3,2.079,44.8,Summer
94,"2023-09-05",0.0,0.0,0.0,2,89.15,Esso Bodegraven,135539.0,755.0,2.059,43.3,Summer
95,"2023-09-20",0.0,0.0,0.0,2,98.38,Bodegraven,137099.0,798.0,2.099,46.87,Summer
96,"2023-10-04",0.0,0.0,0.0,2,90.25,Bodegraven ,137892.0,792.7,2.039,44.26,Summer
97,"2023-10-16",0.0,0.0,0.0,2,82.78,Bodegraven ,138626.0,733.9,1.989,41.62,Summer
98,"2023-10-23",0.0,0.0,0.0,2,92.85,Bodegraven ,139419.0,783.5,1.999,46.45,Summer
99,"2023-11-22",0.0,0.0,0.0,2,89.27,Bodegraven ,140122.0,702.5,1.919,46.52,Summer
100,"2023-12-04",0.0,0.0,0.0,2,87.13,Bodegraven ,140831.0,709.6,1.899,45.88,Summer
101,"2023-12-20",0.0,0.0,0.0,2,76.55,Bodegraven ,141474.0,643.1,1.849,41.4,Summer
102,"2024-01-03",0.0,0.0,0.0,2,79.05,Bodegraven TotalEnergies ,142135.0,659.7,1.834,43.1,Summer
103,"2024-01-09",0.0,0.0,0.0,2,87.9,Bodegraven ,142880.0,745.2,1.869,47.03,Summer
104,"2024-01-19",0.0,0.0,0.0,2,75.84,Esso Bodegraven ,143540.0,659.4,1.839,41.24,Summer
105,"2024-02-20",0.0,0.0,0.0,2,80.91,Esso,144911.0,667.3,1.919,42.16,Summer
106,"2024-03-03",0.0,0.0,0.0,2,85.76,Esso Bodegraven ,145628.0,717.3,1.929,44.46,Summer
107,"2024-03-08",0.0,0.0,0.0,2,88.02,NXT,146394.0,765.9,1.919,45.87,Summer
108,"2024-03-18",0.0,0.0,0.0,2,88.55,Bodegraven ,147115.0,720.6,1.969,44.97,Summer
109,"2024-03-28",0.0,0.0,0.0,2,84.07,Esso Bodegraven ,147830.0,700.0,1.979,42.48,Summer
110,"2024-04-04",0.0,0.0,0.0,2,87.07,Bodegraven ,148530.0,715.4,2.039,42.7,Summer
111,"2024-04-18",0.0,0.0,0.0,2,87.96,TinQ,149255.0,722.2,2.039,43.14,Summer
112,"2024-04-25",0.0,0.0,0.0,2,90.43,TinQ ,150014.0,758.1,2.009,45.01,Summer
132,"2025-09-02",,0.0,,5,19.56,Shell,95579.0,122.0,2.439,8.02,Summer
133,"2025-09-08",,0.0,,5,48.21,NXT,95719.0,356.0,2.069,23.3,Summer
136,"2025-09-21",,0.0,,5,39.21,TinQ,95996.0,277.0,2.079,18.86,Summer
137,"2025-10-02",,0.0,,5,48.76,TinQ,96352.0,356.1,2.089,23.34,Summer
140,"2025-10-26",,0.0,,5,41.37,TotalEnergies,96643.0,291.0,2.039,20.29,Summer
142,"2025-11-11",,0.0,,5,46.38,TotalEnergies,96970.0,327.4,2.079,22.31,Summer
145,"2025-12-01",,0.0,,5,42.93,Tankstation NXT,97282.0,307.3,2.079,20.65,Summer
